id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
3,u,0.0,0.0,4.0,672,53.0,0,0.0,0,0.0,0.2,359,52.0,0,0,0.0,572.0,71.0,0,0,0.0,494.0,66.0,0.0,0.0,0.0,5545,0,46959,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,71.0,0.0,555.0,60.0,0.0,520.0,45.0,0.0,563.0,71.0,,,,23,,Karl,Hein,Hein,Has joined Werder Bremen on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
4,a,,,3.9,759,87.0,0,0.0,-1,1.0,0.2,342,48.0,0,0,0.0,543.0,56.0,0,0,0.0,465.0,51.0,0.0,0.0,0.0,32098,33,28852,61,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,56.0,0.0,524.0,43.0,0.0,487.0,28.0,0.0,534.0,56.0,,,,23,,Tommy,Setford,Setford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
759,a,,,4.0,712,201.0,0,0.0,0,0.0,0.0,699,241.0,0,0,0.0,605.0,235.0,0,0,0.0,529.0,216.0,0.0,0.0,0.0,893,7,657,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,234.0,0.0,588.0,235.0,0.0,554.0,229.0,0.0,596.0,234.0,,,,23,,Marli,Salmon,Salmon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
32,d,75.0,75.0,5.0,242,7.0,0,0.0,0,0.0,3.1,106,15.0,66,0,3.7,102.0,10.0,3,291,1.5,233.0,19.0,0.3,13.2,0.0,645176,168,506671,1781,1.1,1.1,0.0,0.03,0.03,22.83,0.0,0.0,0.0,1.3,389.2,71.0,13.0,3.0,430.0,12.0,0.0,748.0,83.0,39.2,245.0,13.0,,,,23,,Emiliano,Martínez Romero,Martinez,Calf injury - 75% chance of playing,,1575,0,0,4,17,0,1,0,1,0,51,18,78,,,,2.91,0.23,0.97,1.03,0.0,0,14,138
33,a,,,4.2,619,32.0,0,0.0,-3,3.0,0.4,267,35.0,11,0,2.2,289.0,25.0,0,51,0.3,341.0,24.0,0.1,2.6,0.0,82495,36,110747,50,0.3,0.3,0.0,0.0,0.0,8.53,0.0,0.0,0.0,1.9,92.8,328.0,27.0,0.0,597.0,72.0,0.0,565.0,57.0,9.3,400.0,27.0,,,,23,,Marco,Bizot,M.Bizot,,,405,0,0,1,8,0,0,0,2,0,13,4,23,,,,2.89,0.22,1.78,0.89,0.0,0,6,41
34,u,0.0,0.0,4.0,671,52.0,0,0.0,0,0.0,0.1,477,74.0,0,0,0.0,571.0,70.0,0,0,0.0,493.0,65.0,0.0,0.0,0.0,0,0,16806,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,70.0,0.0,554.0,59.0,0.0,519.0,44.0,0.0,562.0,70.0,,,,23,,Joe,Gauci,Gauci,Has joined Port Vale on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
49,a,100.0,100.0,5.5,141,89.0,0,0.0,0,0.0,0.1,512,182.0,0,0,0.0,788.0,351.0,0,0,0.0,777.0,346.0,0.0,0.0,0.0,2425,72,48290,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,351.0,0.0,787.0,351.0,0.0,784.0,350.0,0.0,788.0,351.0,,,,23,,Leon,Bailey,Bailey,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
50,a,100.0,100.0,5.3,187,116.0,0,0.0,-2,2.0,0.3,297,99.0,60,0,3.0,191.0,82.0,7,202,1.7,224.0,97.0,0.3,11.3,0.0,161917,290,145308,235,1.7,1.7,1.99,1.17,3.16,13.54,0.21,0.12,0.33,1.41,250.6,174.0,70.0,226.1,101.0,75.0,190.0,106.0,63.0,66.7,119.0,65.0,,6.0,2.0,23,,Emiliano,Buendía Stati,Buendía,,,862,4,2,2,9,0,0,0,2,0,0,10,99,,,,0.0,0.21,0.94,1.04,10.34,25,18,56
51,u,0.0,0.0,5.5,151,96.0,0,0.0,0,0.0,0.0,671,277.0,0,0,0.0,789.0,352.0,0,0,0.0,779.0,348.0,0.0,0.0,0.0,1383,0,3751,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,352.0,0.0,788.0,352.0,0.0,785.0,351.0,0.0,789.0,352.0,,,,23,,Samuel,Iling-Junior,Iling Jr,has joined West Bromwich Albion on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
53,u,0.0,0.0,5.1,227,140.0,0,0.0,-4,4.0,0.5,251,84.0,55,0,2.6,243.0,104.0,3,161,1.2,266.0,114.0,0.2,10.8,0.0,172896,0,325398,569,0.0,0.0,4.03,0.35,4.38,10.59,0.57,0.05,0.62,1.49,183.4,239.0,101.0,99.7,219.0,135.0,290.0,55.0,34.0,56.3,160.0,91.0,,,1.0,23,,Donyell,Malen,Malen,has joined Roma on loan for the rest of the season.,,640,4,2,1,10,0,0,0,0,0,0,5,16,,,,0.0,0.14,1.41,0.7,2.25,4,2,10
