id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
306,Callum,Bates,Bates,a,,,4.3,605,351.0,0.1,513,183.0,0.0,573.0,200.0,0,0,0.0,-2,2.0,25,22,0.0,0.0,0.0,0.0,0.0,639.0,242.0,,,629.0,232.0,626.0,237.0,598.0,224.0,630.0,233.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
307,Coby,Ebere,Ebere,a,,,4.4,540,323.0,0.0,602,231.0,0.0,600.0,215.0,0,0,0.0,-1,1.0,5,9,0.0,0.0,0.0,0.0,0.0,659.0,255.0,,,650.0,246.0,647.0,251.0,621.0,239.0,651.0,247.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
308,Isaac,Heath,Heath,u,has joined Accrington on loan for the rest of the season.,,4.5,448,268.0,0.0,683,284.0,0.0,646.0,246.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,697.0,281.0,0.0,0.0,692.0,276.0,689.0,278.0,668.0,269.0,692.0,276.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
321,Jorge,Cuenca Barreno,J.Cuenca,a,,,4.3,580,132.0,0.1,561,201.0,2.0,171.0,61.0,0,0,0.0,-2,2.0,18,8,0.5,7.9,2.0,2.0,3.4,127.0,48.0,,,229.0,92.0,367.0,132.0,380.0,137.0,326.0,110.0,,,,,,,,0.01,0.01,0.02,1.3,0.0,0.24,0.84,1.08,11.12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
322,Kenny,Tete,Tete,d,Lack of match fitness - 75% chance of playing,,4.5,410,75.0,0.3,320,119.0,0.0,621.0,245.0,0,0,0.0,0,0.0,4,115,0.0,14.4,0.0,0.0,4.1,58.0,25.0,75.0,75.0,116.0,50.0,175.0,43.0,246.0,69.0,181.0,59.0,,,,,,,,0.03,0.06,0.09,1.32,0.0,0.33,1.2,1.07,8.42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
323,Samuel,Amissah,Amissah,a,,,3.8,804,259.0,0.1,419,156.0,0.0,435.0,174.0,0,0,0.0,-2,2.0,9,12,0.0,0.0,0.0,0.0,0.0,517.0,193.0,,,507.0,193.0,497.0,193.0,460.0,185.0,507.0,192.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
324,Alex,Iwobi,Iwobi,a,,,6.3,64,43.0,0.7,208,70.0,0.4,358.0,161.0,0,0,0.0,-2,2.0,217,67,0.1,9.2,0.4,0.4,3.4,137.0,62.0,100.0,100.0,165.0,64.0,40.0,38.0,141.0,82.0,84.0,52.0,5.0,,,,,,,0.05,0.13,0.18,1.4,0.0,0.19,1.59,1.08,6.67,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
325,Emile,Smith Rowe,Smith Rowe,a,,,5.6,129,79.0,0.6,233,82.0,2.4,149.0,64.0,0,0,0.0,-4,4.0,153,210,0.4,9.6,2.4,2.4,2.3,287.0,125.0,100.0,100.0,218.0,91.0,113.0,80.0,81.0,52.0,134.0,73.0,,,,,,,,0.26,0.06,0.32,1.54,0.0,0.26,1.2,0.95,7.31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
327,Andreas,Hoelgebaum Pereira,Andreas,u,has joined Palmeiras permanently.,,5.3,188,115.0,0.1,549,199.0,0.0,765.0,336.0,0,0,0.0,-2,2.0,0,0,0.0,0.0,0.0,0.0,0.0,783.0,345.0,0.0,0.0,782.0,344.0,781.0,344.0,776.0,343.0,782.0,344.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
328,Ryan,Sessegnon,Sessegnon,a,,,5.4,164,102.0,0.2,408,138.0,1.0,276.0,123.0,0,0,0.0,-1,1.0,34,39,0.2,11.3,1.0,1.0,3.8,92.0,41.0,100.0,100.0,172.0,68.0,191.0,127.0,159.0,92.0,187.0,98.0,,,,,,,,0.07,0.1,0.17,1.28,0.0,0.3,1.55,1.03,10.34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
