id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,element_type,team
28,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.922187Z,,,588796,425,0,1.5,,0,Ismeal,0.0,False,,,,,0.0,Kabia,,a,0,Kabia,583,238,579,238,563,232,583,238,299.0,67.0,577.0,239.0,,,,,,,3,1
29,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.924824Z,,,437742,469,0,1.5,,0,Albert,0.0,False,,,,,0.0,Sambi Lokonga,,a,0,Sambi,509,190,505,190,485,182,509,190,199.0,9.0,508.0,191.0,,,,,,,3,1
30,3,14,343,7,269.0,20,9,144.8,467.6,1872,0,0,0,0,0,711.0,5,21,9.53,1.65,11.18,19.32,2025-07-20T23:14:20.927395Z,,,219847,27,0,2.9,,0,Kai,0.0,False,,,,,4.2,Havertz,,a,97,Havertz,135,15,134,15,33,14,76,15,637.0,62.0,35.0,9.0,,,,,,,4,1
31,2,6,152,2,119.5,5,3,52.6,154.4,600,0,0,0,0,0,255.0,4,6,3.05,0.52,3.57,5.82,2025-07-20T23:14:20.930026Z,0.0,,205651,76,0,0.0,,0,Gabriel,0.0,False,Knee injury - Unknown return date,2025-07-21T10:00:04.697564Z,,,2.5,Fernando de Jesus,,i,42,G.Jesus,278,25,220,23,116,23,233,24,595.0,51.0,190.0,19.0,,,,,,,4,1
32,0,6,457,8,20.0,47,0,86.0,839.6,3195,0,0,1,1,100,0.0,5,37,0.00,0.02,0.02,44.99,2025-07-20T23:14:20.932628Z,0.0,,98980,259,0,0.0,,0,Emiliano,0.0,False,Suspended until 23 Aug,2025-07-21T10:00:04.758838Z,,,3.0,Martínez Romero,,s,111,Martinez,21,6,325,7,584,70,155,5,330.0,64.0,133.0,20.0,,,,,,,1,2
33,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.935251Z,,,72147,432,0,1.8,,0,Marco,0.0,False,,,,,0.0,Bizot,,a,0,M.Bizot,490,70,483,63,460,50,490,70,130.0,46.0,490.0,68.0,,,,,,,1,2
34,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.937942Z,,,462492,578,0,0.5,,0,Joe,0.0,False,,,,,0.0,Gauci,,a,0,Gauci,437,54,427,45,396,30,437,54,55.0,26.0,437.0,52.0,,,,,,,1,2
35,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2025-07-20T23:14:20.940598Z,0.0,,462381,633,0,0.5,,0,Filip,0.0,False,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,,,0.0,Marschall,,u,0,Marschall,436,53,426,44,395,29,436,53,54.0,25.0,436.0,51.0,,,,,,,1,2
36,1,2,286,7,181.0,22,1,71.3,359.2,2069,0,0,0,0,0,171.0,7,24,0.48,1.23,1.71,28.64,2025-07-20T23:14:20.943191Z,,,199796,381,0,1.4,,0,Matty,0.0,False,,,,,2.8,Cash,,a,76,Cash,173,61,185,43,170,38,191,60,161.0,106.0,153.0,46.0,,,,,,,2,2
37,5,7,383,6,583.9,36,0,120.7,512.6,2348,0,0,0,0,0,112.0,4,28,0.80,3.97,4.77,34.94,2025-07-20T23:14:20.945830Z,,,101188,383,0,1.4,,0,Lucas,0.0,False,,,,,2.8,Digne,,a,89,Digne,122,41,52,7,213,64,103,20,136.0,88.0,150.0,43.0,,,,,,,2,2
38,0,10,448,8,123.9,45,2,82.4,532.8,2936,0,0,0,0,0,166.0,1,33,1.29,0.61,1.90,43.82,2025-07-20T23:14:20.948385Z,,,199798,358,0,1.4,,0,Ezri,0.0,False,,,,,3.0,Konsa Ngoyo,,a,103,Konsa,112,39,217,63,172,40,163,48,162.0,107.0,130.0,36.0,,,,,,,2,2
39,2,0,204,3,293.4,16,1,74.3,252.0,1125,0,0,0,0,0,197.0,2,10,0.87,2.43,3.30,17.31,2025-07-20T23:14:20.951001Z,,,441302,388,0,1.4,,0,Ian,0.0,False,,,,,2.0,Maatsen,,a,57,Maatsen,223,81,125,25,153,28,187,56,204.0,135.0,242.0,85.0,,,,,,,2,2
40,1,5,207,4,49.2,11,0,34.6,220.4,1119,0,0,0,0,0,74.0,1,12,0.88,0.23,1.11,13.20,2025-07-20T23:14:20.953563Z,,,149484,418,0,1.4,,0,Tyrone,0.0,False,,,,,3.4,Mings,,a,47,Mings,233,84,279,102,242,81,272,95,149.0,98.0,95.0,17.0,,,,,,,2,2
41,0,3,254,5,84.5,33,0,54.0,350.6,2019,0,0,0,0,0,102.0,2,23,0.51,0.43,0.94,29.69,2025-07-20T23:14:20.956174Z,,,244954,423,0,1.4,,0,Pau,0.0,False,,,,,2.3,Torres,,a,55,Pau,181,64,247,85,218,68,232,69,194.0,132.0,205.0,71.0,,,,,,,2,2
42,0,0,26,0,68.4,5,0,12.0,45.6,316,0,0,0,0,0,7.0,0,5,0.04,0.49,0.53,6.49,2025-07-20T23:14:20.958835Z,75.0,,606798,576,0,0.5,,0,Andrés,0.0,False,Knock - 75% chance of playing,2025-08-10T22:00:04.418109Z,,,1.1,García,,d,8,A.García,333,124,262,91,326,124,323,119,117.0,74.0,332.0,117.0,,,,,,,2,2
